Registration_Number,Semester,Subject,Marks
REG2023041,4,Digital Electronics,97
REG2023041,4,Power Systems,69
REG2023041,4,Control Systems,87
REG2023041,4,Signals & Systems,71
REG2023042,1,Data Structures,82
REG2023042,1,Algorithms,82
REG2023042,1,Database Systems,84
REG2023042,1,Operating Systems,81
REG2023042,1,Discrete Mathematics,95
REG2023042,2,Data Structures,86
REG2023042,2,Algorithms,69
REG2023042,2,Database Systems,80
REG2023042,2,Operating Systems,51
REG2023042,2,Discrete Mathematics,73
REG2023042,3,Data Structures,71
REG2023042,3,Algorithms,93
REG2023042,3,Database Systems,57
REG2023042,3,Operating Systems,76
REG2023042,3,Discrete Mathematics,87
REG2023042,4,Data Structures,69
REG2023042,4,Algorithms,100
REG2023042,4,Database Systems,96
REG2023042,4,Operating Systems,94
REG2023042,4,Discrete Mathematics,90
REG2023043,1,Circuit Analysis,51
REG2023043,1,Digital Electronics,88
REG2023043,1,Power Systems,80
REG2023043,1,Control Systems,66
REG2023043,1,Signals & Systems,91
REG2023043,2,Circuit Analysis,100
REG2023043,2,Digital Electronics,99
REG2023043,2,Power Systems,87
REG2023043,2,Control Systems,86
REG2023043,2,Signals & Systems,64
REG2023043,3,Circuit Analysis,96
REG2023043,3,Digital Electronics,53
REG2023043,3,Power Systems,87
REG2023043,3,Control Systems,80
REG2023043,3,Signals & Systems,60
REG2023043,4,Circuit Analysis,83
REG2023043,4,Digital Electronics,90
REG2023043,4,Power Systems,96
REG2023043,4,Control Systems,89
REG2023043,4,Signals & Systems,99
REG2023044,1,Data Structures,74
REG2023044,1,Algorithms,59
REG2023044,1,Database Systems,93
REG2023044,1,Operating Systems,65
REG2023044,1,Discrete Mathematics,52
REG2023044,2,Data Structures,86
REG2023044,2,Algorithms,94
REG2023044,2,Database Systems,57
REG2023044,2,Operating Systems,62
REG2023044,2,Discrete Mathematics,51
REG2023044,3,Data Structures,78
REG2023044,3,Algorithms,70
REG2023044,3,Database Systems,76
REG2023044,3,Operating Systems,59
REG2023044,3,Discrete Mathematics,76
REG2023044,4,Data Structures,94
REG2023044,4,Algorithms,63
REG2023044,4,Database Systems,76
REG2023044,4,Operating Systems,82
REG2023044,4,Discrete Mathematics,99
REG2023045,1,Biochemistry,89
REG2023045,1,Genetics,80
REG2023045,1,Cell Biology,97
REG2023045,1,Microbiology,96
REG2023045,1,Bioinformatics,53
REG2023045,2,Biochemistry,95
REG2023045,2,Genetics,58
REG2023045,2,Cell Biology,83
REG2023045,2,Microbiology,63
REG2023045,2,Bioinformatics,85
REG2023045,3,Biochemistry,70
REG2023045,3,Genetics,92
REG2023045,3,Cell Biology,80
REG2023045,3,Microbiology,83
REG2023045,3,Bioinformatics,74
REG2023045,4,Biochemistry,70
REG2023045,4,Genetics,61
REG2023045,4,Cell Biology,79
REG2023045,4,Microbiology,84
REG2023045,4,Bioinformatics,71
REG2023046,1,Biochemistry,84
REG2023046,1,Genetics,72
REG2023046,1,Cell Biology,93
REG2023046,1,Microbiology,99
REG2023046,1,Bioinformatics,96
REG2023046,2,Biochemistry,93
REG2023046,2,Genetics,91
REG2023046,2,Cell Biology,94
REG2023046,2,Microbiology,66
REG2023046,2,Bioinformatics,89
REG2023046,3,Biochemistry,80
REG2023046,3,Genetics,62
REG2023046,3,Cell Biology,65
REG2023046,3,Microbiology,67
REG2023046,3,Bioinformatics,85
REG2023046,4,Biochemistry,69
REG2023046,4,Genetics,64
REG2023046,4,Cell Biology,69
REG2023046,4,Microbiology,99
REG2023046,4,Bioinformatics,68
REG2023047,1,Structural Analysis,95
REG2023047,1,Geotechnical Engineering,63
REG2023047,1,Transportation Engineering,94
REG2023047,1,Hydrology,95
REG2023047,1,Surveying,81
REG2023047,2,Structural Analysis,70
REG2023047,2,Geotechnical Engineering,80
REG2023047,2,Transportation Engineering,72
REG2023047,2,Hydrology,85
REG2023047,2,Surveying,100
REG2023047,3,Structural Analysis,96
REG2023047,3,Geotechnical Engineering,67
REG2023047,3,Transportation Engineering,68
REG2023047,3,Hydrology,57
REG2023047,3,Surveying,86
REG2023047,4,Structural Analysis,93
REG2023047,4,Geotechnical Engineering,84
REG2023047,4,Transportation Engineering,74
REG2023047,4,Hydrology,75
REG2023047,4,Surveying,72
REG2023048,1,Structural Analysis,99
REG2023048,1,Geotechnical Engineering,59
REG2023048,1,Transportation Engineering,68
REG2023048,1,Hydrology,52
REG2023048,1,Surveying,68
REG2023048,2,Structural Analysis,95
REG2023048,2,Geotechnical Engineering,55
REG2023048,2,Transportation Engineering,72
REG2023048,2,Hydrology,78
REG2023048,2,Surveying,91
REG2023048,3,Structural Analysis,66
REG2023048,3,Geotechnical Engineering,97
REG2023048,3,Transportation Engineering,80
REG2023048,3,Hydrology,63
REG2023048,3,Surveying,62
REG2023048,4,Structural Analysis,84
REG2023048,4,Geotechnical Engineering,67
REG2023048,4,Transportation Engineering,85
REG2023048,4,Hydrology,94
REG2023048,4,Surveying,67
REG2023049,1,Structural Analysis,58
REG2023049,1,Geotechnical Engineering,56
REG2023049,1,Transportation Engineering,89
REG2023049,1,Hydrology,97
REG2023049,1,Surveying,87
REG2023049,2,Structural Analysis,65
REG2023049,2,Geotechnical Engineering,65
REG2023049,2,Transportation Engineering,53
REG2023049,2,Hydrology,92
REG2023049,2,Surveying,83
REG2023049,3,Structural Analysis,64
REG2023049,3,Geotechnical Engineering,90
REG2023049,3,Transportation Engineering,64
REG2023049,3,Hydrology,53
REG2023049,3,Surveying,56
REG2023049,4,Structural Analysis,76
REG2023049,4,Geotechnical Engineering,71
REG2023049,4,Transportation Engineering,95
REG2023049,4,Hydrology,80
REG2023049,4,Surveying,56
REG2023050,1,Structural Analysis,93
REG2023050,1,Geotechnical Engineering,99
REG2023050,1,Transportation Engineering,58
REG2023050,1,Hydrology,50
REG2023050,1,Surveying,85
REG2023050,2,Structural Analysis,60
REG2023050,2,Geotechnical Engineering,76
REG2023050,2,Transportation Engineering,91
REG2023050,2,Hydrology,80
REG2023050,2,Surveying,80
REG2023050,3,Structural Analysis,91
REG2023050,3,Geotechnical Engineering,62
REG2023050,3,Transportation Engineering,98
REG2023050,3,Hydrology,68
REG2023050,3,Surveying,70
REG2023050,4,Structural Analysis,68
REG2023050,4,Geotechnical Engineering,91
REG2023050,4,Transportation Engineering,53
REG2023050,4,Hydrology,99
REG2023050,4,Surveying,55
REG2023051,1,Structural Analysis,91
REG2023051,1,Geotechnical Engineering,86
REG2023051,1,Transportation Engineering,64
REG2023051,1,Hydrology,84
REG2023051,1,Surveying,97
REG2023051,2,Structural Analysis,96
REG2023051,2,Geotechnical Engineering,52
REG2023051,2,Transportation Engineering,61
REG2023051,2,Hydrology,76
REG2023051,2,Surveying,61
REG2023051,3,Structural Analysis,52
REG2023051,3,Geotechnical Engineering,75
REG2023051,3,Transportation Engineering,100
REG2023051,3,Hydrology,81
REG2023051,3,Surveying,61
REG2023051,4,Structural Analysis,97
REG2023051,4,Geotechnical Engineering,68
REG2023051,4,Transportation Engineering,52
REG2023051,4,Hydrology,50
REG2023051,4,Surveying,69
REG2023052,1,Thermodynamics,86
REG2023052,1,Fluid Mechanics,88
REG2023052,1,Machine Design,56
REG2023052,1,Material Science,71
REG2023052,1,Robotics,68
REG2023052,2,Thermodynamics,79
REG2023052,2,Fluid Mechanics,91
REG2023052,2,Machine Design,84
REG2023052,2,Material Science,83
REG2023052,2,Robotics,81
REG2023052,3,Thermodynamics,58
REG2023052,3,Fluid Mechanics,82
REG2023052,3,Machine Design,79
REG2023052,3,Material Science,67
REG2023052,3,Robotics,62
REG2023052,4,Thermodynamics,57
REG2023052,4,Fluid Mechanics,71
REG2023052,4,Machine Design,60
REG2023052,4,Material Science,96
REG2023052,4,Robotics,79
REG2023053,1,Thermodynamics,91
REG2023053,1,Fluid Mechanics,66
REG2023053,1,Machine Design,95
REG2023053,1,Material Science,61
REG2023053,1,Robotics,50
REG2023053,2,Thermodynamics,97
REG2023053,2,Fluid Mechanics,71
REG2023053,2,Machine Design,100
REG2023053,2,Material Science,68
REG2023053,2,Robotics,86
REG2023053,3,Thermodynamics,93
REG2023053,3,Fluid Mechanics,98
REG2023053,3,Machine Design,62
REG2023053,3,Material Science,61
REG2023053,3,Robotics,89
REG2023053,4,Thermodynamics,90
REG2023053,4,Fluid Mechanics,75
REG2023053,4,Machine Design,77
REG2023053,4,Material Science,82
REG2023053,4,Robotics,70
REG2023054,1,Structural Analysis,55
REG2023054,1,Geotechnical Engineering,75
REG2023054,1,Transportation Engineering,92
REG2023054,1,Hydrology,56
REG2023054,1,Surveying,61
REG2023054,2,Structural Analysis,58
REG2023054,2,Geotechnical Engineering,80
REG2023054,2,Transportation Engineering,70
REG2023054,2,Hydrology,65
REG2023054,2,Surveying,50
REG2023054,3,Structural Analysis,66
REG2023054,3,Geotechnical Engineering,74
REG2023054,3,Transportation Engineering,65
REG2023054,3,Hydrology,78
REG2023054,3,Surveying,98
REG2023054,4,Structural Analysis,67
REG2023054,4,Geotechnical Engineering,71
REG2023054,4,Transportation Engineering,69
REG2023054,4,Hydrology,87
REG2023054,4,Surveying,96
REG2023055,1,Thermodynamics,86
REG2023055,1,Fluid Mechanics,50
REG2023055,1,Machine Design,66
REG2023055,1,Material Science,91
REG2023055,1,Robotics,73
REG2023055,2,Thermodynamics,94
REG2023055,2,Fluid Mechanics,65
REG2023055,2,Machine Design,53
REG2023055,2,Material Science,92
REG2023055,2,Robotics,57
REG2023055,3,Thermodynamics,79
REG2023055,3,Fluid Mechanics,69
REG2023055,3,Machine Design,60
REG2023055,3,Material Science,75
REG2023055,3,Robotics,93
REG2023055,4,Thermodynamics,82
REG2023055,4,Fluid Mechanics,95
REG2023055,4,Machine Design,99
REG2023055,4,Material Science,69
REG2023055,4,Robotics,94
REG2023056,1,Structural Analysis,57
REG2023056,1,Geotechnical Engineering,90
REG2023056,1,Transportation Engineering,68
REG2023056,1,Hydrology,73
REG2023056,1,Surveying,89
REG2023056,2,Structural Analysis,64
REG2023056,2,Geotechnical Engineering,64
REG2023056,2,Transportation Engineering,58
REG2023056,2,Hydrology,80
REG2023056,2,Surveying,59
REG2023056,3,Structural Analysis,79
REG2023056,3,Geotechnical Engineering,97
REG2023056,3,Transportation Engineering,88
REG2023056,3,Hydrology,73
REG2023056,3,Surveying,76
REG2023056,4,Structural Analysis,94
REG2023056,4,Geotechnical Engineering,85
REG2023056,4,Transportation Engineering,80
REG2023056,4,Hydrology,98
REG2023056,4,Surveying,84
REG2023057,1,Data Structures,92
REG2023057,1,Algorithms,63
REG2023057,1,Database Systems,98
REG2023057,1,Operating Systems,65
REG2023057,1,Discrete Mathematics,93
REG2023057,2,Data Structures,98
REG2023057,2,Algorithms,88
REG2023057,2,Database Systems,100
REG2023057,2,Operating Systems,55
REG2023057,2,Discrete Mathematics,83
REG2023057,3,Data Structures,78
REG2023057,3,Algorithms,83
REG2023057,3,Database Systems,95
REG2023057,3,Operating Systems,73
REG2023057,3,Discrete Mathematics,54
REG2023057,4,Data Structures,86
REG2023057,4,Algorithms,57
REG2023057,4,Database Systems,53
REG2023057,4,Operating Systems,85
REG2023057,4,Discrete Mathematics,82
REG2023058,1,Circuit Analysis,62
REG2023058,1,Digital Electronics,86
REG2023058,1,Power Systems,84
REG2023058,1,Control Systems,59
REG2023058,1,Signals & Systems,60
REG2023058,2,Circuit Analysis,70
REG2023058,2,Digital Electronics,83
REG2023058,2,Power Systems,78
REG2023058,2,Control Systems,57
REG2023058,2,Signals & Systems,93
REG2023058,3,Circuit Analysis,63
REG2023058,3,Digital Electronics,95
REG2023058,3,Power Systems,87
REG2023058,3,Control Systems,81
REG2023058,3,Signals & Systems,55
REG2023058,4,Circuit Analysis,82
REG2023058,4,Digital Electronics,78
REG2023058,4,Power Systems,53
REG2023058,4,Control Systems,79
REG2023058,4,Signals & Systems,58
REG2023059,1,Thermodynamics,82
REG2023059,1,Fluid Mechanics,76
REG2023059,1,Machine Design,79
REG2023059,1,Material Science,86
REG2023059,1,Robotics,53
REG2023059,2,Thermodynamics,85
REG2023059,2,Fluid Mechanics,79
REG2023059,2,Machine Design,93
REG2023059,2,Material Science,69
REG2023059,2,Robotics,96
REG2023059,3,Thermodynamics,51
REG2023059,3,Fluid Mechanics,75
REG2023059,3,Machine Design,66
REG2023059,3,Material Science,50
REG2023059,3,Robotics,97
REG2023059,4,Thermodynamics,63
REG2023059,4,Fluid Mechanics,87
REG2023059,4,Machine Design,54
REG2023059,4,Material Science,52
REG2023059,4,Robotics,77
REG2023060,1,Thermodynamics,72
REG2023060,1,Fluid Mechanics,94
REG2023060,1,Machine Design,54
REG2023060,1,Material Science,84
REG2023060,1,Robotics,53
REG2023060,2,Thermodynamics,54
REG2023060,2,Fluid Mechanics,80
REG2023060,2,Machine Design,52
REG2023060,2,Material Science,68
REG2023060,2,Robotics,76
REG2023060,3,Thermodynamics,61
REG2023060,3,Fluid Mechanics,99
REG2023060,3,Machine Design,58
REG2023060,3,Material Science,99
REG2023060,3,Robotics,91
REG2023060,4,Thermodynamics,96
REG2023060,4,Fluid Mechanics,91
REG2023060,4,Machine Design,76
REG2023060,4,Material Science,73
REG2023060,4,Robotics,74
REG2023061,1,Biochemistry,78
REG2023061,1,Genetics,74
REG2023061,1,Cell Biology,74
REG2023061,1,Microbiology,55
REG2023061,1,Bioinformatics,93
REG2023061,2,Biochemistry,92
REG2023061,2,Genetics,84
REG2023061,2,Cell Biology,58
REG2023061,2,Microbiology,91
REG2023061,2,Bioinformatics,72
REG2023061,3,Biochemistry,57
REG2023061,3,Genetics,61
REG2023061,3,Cell Biology,84
REG2023061,3,Microbiology,75
REG2023061,3,Bioinformatics,83
REG2023061,4,Biochemistry,58
REG2023061,4,Genetics,96
REG2023061,4,Cell Biology,64
REG2023061,4,Microbiology,50
REG2023061,4,Bioinformatics,98
REG2023062,1,Thermodynamics,51
REG2023062,1,Fluid Mechanics,69
REG2023062,1,Machine Design,79
REG2023062,1,Material Science,93
REG2023062,1,Robotics,96
REG2023062,2,Thermodynamics,84
REG2023062,2,Fluid Mechanics,77
REG2023062,2,Machine Design,84
REG2023062,2,Material Science,74
REG2023062,2,Robotics,64
REG2023062,3,Thermodynamics,65
REG2023062,3,Fluid Mechanics,79
REG2023062,3,Machine Design,72
REG2023062,3,Material Science,59
REG2023062,3,Robotics,67
REG2023062,4,Thermodynamics,62
REG2023062,4,Fluid Mechanics,96
REG2023062,4,Machine Design,98
REG2023062,4,Material Science,57
REG2023062,4,Robotics,52
REG2023063,1,Data Structures,92
REG2023063,1,Algorithms,76
REG2023063,1,Database Systems,89
REG2023063,1,Operating Systems,99
REG2023063,1,Discrete Mathematics,51
REG2023063,2,Data Structures,65
REG2023063,2,Algorithms,63
REG2023063,2,Database Systems,54
REG2023063,2,Operating Systems,56
REG2023063,2,Discrete Mathematics,88
REG2023063,3,Data Structures,52
REG2023063,3,Algorithms,78
REG2023063,3,Database Systems,88
REG2023063,3,Operating Systems,93
REG2023063,3,Discrete Mathematics,95
REG2023063,4,Data Structures,53
REG2023063,4,Algorithms,65
REG2023063,4,Database Systems,97
REG2023063,4,Operating Systems,52
REG2023063,4,Discrete Mathematics,75
REG2023064,1,Thermodynamics,78
REG2023064,1,Fluid Mechanics,64
REG2023064,1,Machine Design,84
REG2023064,1,Material Science,63
REG2023064,1,Robotics,98
REG2023064,2,Thermodynamics,99
REG2023064,2,Fluid Mechanics,53
REG2023064,2,Machine Design,58
REG2023064,2,Material Science,82
REG2023064,2,Robotics,68
REG2023064,3,Thermodynamics,64
REG2023064,3,Fluid Mechanics,96
REG2023064,3,Machine Design,86
REG2023064,3,Material Science,70
REG2023064,3,Robotics,86
REG2023064,4,Thermodynamics,88
REG2023064,4,Fluid Mechanics,99
REG2023064,4,Machine Design,93
REG2023064,4,Material Science,70
REG2023064,4,Robotics,65
REG2023065,1,Data Structures,69
REG2023065,1,Algorithms,59
REG2023065,1,Database Systems,92
REG2023065,1,Operating Systems,83
REG2023065,1,Discrete Mathematics,64
REG2023065,2,Data Structures,76
REG2023065,2,Algorithms,69
REG2023065,2,Database Systems,67
REG2023065,2,Operating Systems,53
REG2023065,2,Discrete Mathematics,85
REG2023065,3,Data Structures,87
REG2023065,3,Algorithms,97
REG2023065,3,Database Systems,61
REG2023065,3,Operating Systems,90
REG2023065,3,Discrete Mathematics,93
REG2023065,4,Data Structures,77
REG2023065,4,Algorithms,85
REG2023065,4,Database Systems,81
REG2023065,4,Operating Systems,53
REG2023065,4,Discrete Mathematics,72
REG2023066,1,Structural Analysis,91
REG2023066,1,Geotechnical Engineering,92
REG2023066,1,Transportation Engineering,74
REG2023066,1,Hydrology,100
REG2023066,1,Surveying,83
REG2023066,2,Structural Analysis,70
REG2023066,2,Geotechnical Engineering,94
REG2023066,2,Transportation Engineering,76
REG2023066,2,Hydrology,76
REG2023066,2,Surveying,59
REG2023066,3,Structural Analysis,69
REG2023066,3,Geotechnical Engineering,74
REG2023066,3,Transportation Engineering,61
REG2023066,3,Hydrology,98
REG2023066,3,Surveying,84
REG2023066,4,Structural Analysis,80
REG2023066,4,Geotechnical Engineering,65
REG2023066,4,Transportation Engineering,64
REG2023066,4,Hydrology,69
REG2023066,4,Surveying,95
REG2023067,1,Circuit Analysis,59
REG2023067,1,Digital Electronics,79
REG2023067,1,Power Systems,53
REG2023067,1,Control Systems,85
REG2023067,1,Signals & Systems,76
REG2023067,2,Circuit Analysis,76
REG2023067,2,Digital Electronics,85
REG2023067,2,Power Systems,83
REG2023067,2,Control Systems,58
REG2023067,2,Signals & Systems,74
REG2023067,3,Circuit Analysis,65
REG2023067,3,Digital Electronics,66
REG2023067,3,Power Systems,63
REG2023067,3,Control Systems,71
REG2023067,3,Signals & Systems,91
REG2023067,4,Circuit Analysis,55
REG2023067,4,Digital Electronics,78
REG2023067,4,Power Systems,73
REG2023067,4,Control Systems,55
REG2023067,4,Signals & Systems,84
REG2023068,1,Data Structures,96
REG2023068,1,Algorithms,62
REG2023068,1,Database Systems,53
REG2023068,1,Operating Systems,67
REG2023068,1,Discrete Mathematics,74
REG2023068,2,Data Structures,93
REG2023068,2,Algorithms,88
REG2023068,2,Database Systems,88
REG2023068,2,Operating Systems,52
REG2023068,2,Discrete Mathematics,54
REG2023068,3,Data Structures,62
REG2023068,3,Algorithms,98
REG2023068,3,Database Systems,87
REG2023068,3,Operating Systems,96
REG2023068,3,Discrete Mathematics,92
REG2023068,4,Data Structures,85
REG2023068,4,Algorithms,63
REG2023068,4,Database Systems,80
REG2023068,4,Operating Systems,63
REG2023068,4,Discrete Mathematics,71
REG2023069,1,Circuit Analysis,69
REG2023069,1,Digital Electronics,50
REG2023069,1,Power Systems,63
REG2023069,1,Control Systems,62
REG2023069,1,Signals & Systems,97
REG2023069,2,Circuit Analysis,57
REG2023069,2,Digital Electronics,97
REG2023069,2,Power Systems,98
REG2023069,2,Control Systems,80
REG2023069,2,Signals & Systems,65
REG2023069,3,Circuit Analysis,94
REG2023069,3,Digital Electronics,88
REG2023069,3,Power Systems,95
REG2023069,3,Control Systems,63
REG2023069,3,Signals & Systems,75
REG2023069,4,Circuit Analysis,65
REG2023069,4,Digital Electronics,85
REG2023069,4,Power Systems,70
REG2023069,4,Control Systems,99
REG2023069,4,Signals & Systems,68
REG2023070,1,Biochemistry,74
REG2023070,1,Genetics,79
REG2023070,1,Cell Biology,84
REG2023070,1,Microbiology,91
REG2023070,1,Bioinformatics,72
REG2023070,2,Biochemistry,69
REG2023070,2,Genetics,66
REG2023070,2,Cell Biology,73
REG2023070,2,Microbiology,82
REG2023070,2,Bioinformatics,81
REG2023070,3,Biochemistry,79
REG2023070,3,Genetics,56
REG2023070,3,Cell Biology,96
REG2023070,3,Microbiology,80
REG2023070,3,Bioinformatics,98
REG2023070,4,Biochemistry,70
REG2023070,4,Genetics,63
REG2023070,4,Cell Biology,73
REG2023070,4,Microbiology,70
REG2023070,4,Bioinformatics,76
REG2023071,1,Circuit Analysis,52
REG2023071,1,Digital Electronics,86
REG2023071,1,Power Systems,64
REG2023071,1,Control Systems,97
REG2023071,1,Signals & Systems,59
REG2023071,2,Circuit Analysis,51
REG2023071,2,Digital Electronics,66
REG2023071,2,Power Systems,85
REG2023071,2,Control Systems,87
REG2023071,2,Signals & Systems,87
REG2023071,3,Circuit Analysis,96
REG2023071,3,Digital Electronics,76
REG2023071,3,Power Systems,68
REG2023071,3,Control Systems,59
REG2023071,3,Signals & Systems,62
REG2023071,4,Circuit Analysis,71
REG2023071,4,Digital Electronics,64
REG2023071,4,Power Systems,74
REG2023071,4,Control Systems,86
REG2023071,4,Signals & Systems,65
REG2023072,1,Data Structures,81
REG2023072,1,Algorithms,85
REG2023072,1,Database Systems,91
REG2023072,1,Operating Systems,93
REG2023072,1,Discrete Mathematics,71
REG2023072,2,Data Structures,66
REG2023072,2,Algorithms,98
REG2023072,2,Database Systems,81
REG2023072,2,Operating Systems,96
REG2023072,2,Discrete Mathematics,91
REG2023072,3,Data Structures,97
REG2023072,3,Algorithms,81
REG2023072,3,Database Systems,79
REG2023072,3,Operating Systems,60
REG2023072,3,Discrete Mathematics,96
REG2023072,4,Data Structures,100
REG2023072,4,Algorithms,72
REG2023072,4,Database Systems,60
REG2023072,4,Operating Systems,58
REG2023072,4,Discrete Mathematics,96
REG2023073,1,Structural Analysis,84
REG2023073,1,Geotechnical Engineering,81
REG2023073,1,Transportation Engineering,61
REG2023073,1,Hydrology,84
REG2023073,1,Surveying,91
REG2023073,2,Structural Analysis,53
REG2023073,2,Geotechnical Engineering,83
REG2023073,2,Transportation Engineering,52
REG2023073,2,Hydrology,54
REG2023073,2,Surveying,92
REG2023073,3,Structural Analysis,53
REG2023073,3,Geotechnical Engineering,98
REG2023073,3,Transportation Engineering,50
REG2023073,3,Hydrology,76
REG2023073,3,Surveying,58
REG2023073,4,Structural Analysis,90
REG2023073,4,Geotechnical Engineering,64
REG2023073,4,Transportation Engineering,54
REG2023073,4,Hydrology,95
REG2023073,4,Surveying,59
REG2023074,1,Structural Analysis,50
REG2023074,1,Geotechnical Engineering,63
REG2023074,1,Transportation Engineering,82
REG2023074,1,Hydrology,79
REG2023074,1,Surveying,73
REG2023074,2,Structural Analysis,53
REG2023074,2,Geotechnical Engineering,89
REG2023074,2,Transportation Engineering,90
REG2023074,2,Hydrology,92
REG2023074,2,Surveying,89
REG2023074,3,Structural Analysis,80
REG2023074,3,Geotechnical Engineering,92
REG2023074,3,Transportation Engineering,81
REG2023074,3,Hydrology,51
REG2023074,3,Surveying,50
REG2023074,4,Structural Analysis,84
REG2023074,4,Geotechnical Engineering,85
REG2023074,4,Transportation Engineering,76
REG2023074,4,Hydrology,50
REG2023074,4,Surveying,51
REG2023075,1,Thermodynamics,83
REG2023075,1,Fluid Mechanics,96
REG2023075,1,Machine Design,67
REG2023075,1,Material Science,84
REG2023075,1,Robotics,68
REG2023075,2,Thermodynamics,51
REG2023075,2,Fluid Mechanics,82
REG2023075,2,Machine Design,94
REG2023075,2,Material Science,93
REG2023075,2,Robotics,77
REG2023075,3,Thermodynamics,61
REG2023075,3,Fluid Mechanics,56
REG2023075,3,Machine Design,56
REG2023075,3,Material Science,83
REG2023075,3,Robotics,59
REG2023075,4,Thermodynamics,65
REG2023075,4,Fluid Mechanics,62
REG2023075,4,Machine Design,89
REG2023075,4,Material Science,83
REG2023075,4,Robotics,66
REG2023076,1,Circuit Analysis,72
REG2023076,1,Digital Electronics,67
REG2023076,1,Power Systems,100
REG2023076,1,Control Systems,75
REG2023076,1,Signals & Systems,55
REG2023076,2,Circuit Analysis,73
REG2023076,2,Digital Electronics,75
REG2023076,2,Power Systems,79
REG2023076,2,Control Systems,86
REG2023076,2,Signals & Systems,65
REG2023076,3,Circuit Analysis,94
REG2023076,3,Digital Electronics,64
REG2023076,3,Power Systems,69
REG2023076,3,Control Systems,93
REG2023076,3,Signals & Systems,55
REG2023076,4,Circuit Analysis,91
REG2023076,4,Digital Electronics,91
REG2023076,4,Power Systems,98
REG2023076,4,Control Systems,52
REG2023076,4,Signals & Systems,55
REG2023077,1,Structural Analysis,75
REG2023077,1,Geotechnical Engineering,74
REG2023077,1,Transportation Engineering,74
REG2023077,1,Hydrology,85
REG2023077,1,Surveying,80
REG2023077,2,Structural Analysis,53
REG2023077,2,Geotechnical Engineering,90
REG2023077,2,Transportation Engineering,50
REG2023077,2,Hydrology,94
REG2023077,2,Surveying,60
REG2023077,3,Structural Analysis,55
REG2023077,3,Geotechnical Engineering,81
REG2023077,3,Transportation Engineering,77
REG2023077,3,Hydrology,91
REG2023077,3,Surveying,100
REG2023077,4,Structural Analysis,71
REG2023077,4,Geotechnical Engineering,86
REG2023077,4,Transportation Engineering,56
REG2023077,4,Hydrology,83
REG2023077,4,Surveying,52
REG2023078,1,Biochemistry,64
REG2023078,1,Genetics,63
REG2023078,1,Cell Biology,94
REG2023078,1,Microbiology,86
REG2023078,1,Bioinformatics,80
REG2023078,2,Biochemistry,67
REG2023078,2,Genetics,52
REG2023078,2,Cell Biology,54
REG2023078,2,Microbiology,93
REG2023078,2,Bioinformatics,67
REG2023078,3,Biochemistry,84
REG2023078,3,Genetics,86
REG2023078,3,Cell Biology,92
REG2023078,3,Microbiology,52
REG2023078,3,Bioinformatics,61
REG2023078,4,Biochemistry,70
REG2023078,4,Genetics,51
REG2023078,4,Cell Biology,63
REG2023078,4,Microbiology,87
REG2023078,4,Bioinformatics,59
REG2023079,1,Data Structures,98
REG2023079,1,Algorithms,95
REG2023079,1,Database Systems,75
REG2023079,1,Operating Systems,54
REG2023079,1,Discrete Mathematics,69
REG2023079,2,Data Structures,60
REG2023079,2,Algorithms,86
REG2023079,2,Database Systems,65
REG2023079,2,Operating Systems,86
REG2023079,2,Discrete Mathematics,74
REG2023079,3,Data Structures,93
REG2023079,3,Algorithms,84
REG2023079,3,Database Systems,71
REG2023079,3,Operating Systems,74
REG2023079,3,Discrete Mathematics,98
REG2023079,4,Data Structures,97
REG2023079,4,Algorithms,58
REG2023079,4,Database Systems,100
REG2023079,4,Operating Systems,94
REG2023079,4,Discrete Mathematics,96
REG2023080,1,Biochemistry,55
REG2023080,1,Genetics,82
REG2023080,1,Cell Biology,97
REG2023080,1,Microbiology,72
REG2023080,1,Bioinformatics,53
REG2023080,2,Biochemistry,56
REG2023080,2,Genetics,77
REG2023080,2,Cell Biology,64
REG2023080,2,Microbiology,54
REG2023080,2,Bioinformatics,71
REG2023080,3,Biochemistry,88
REG2023080,3,Genetics,99
REG2023080,3,Cell Biology,89
REG2023080,3,Microbiology,88
REG2023080,3,Bioinformatics,75
REG2023080,4,Biochemistry,99
REG2023080,4,Genetics,70
REG2023080,4,Cell Biology,51
REG2023080,4,Microbiology,90
REG2023080,4,Bioinformatics,67
REG2023081,1,Biochemistry,100
REG2023081,1,Genetics,78
REG2023081,1,Cell Biology,81
REG2023081,1,Microbiology,64
REG2023081,1,Bioinformatics,72
REG2023081,2,Biochemistry,85
REG2023081,2,Genetics,74
REG2023081,2,Cell Biology,77
REG2023081,2,Microbiology,61
REG2023081,2,Bioinformatics,93
REG2023081,3,Biochemistry,87
REG2023081,3,Genetics,92
REG2023081,3,Cell Biology,74
REG2023081,3,Microbiology,55
REG2023081,3,Bioinformatics,99
REG2023081,4,Biochemistry,89
REG2023081,4,Genetics,68
REG2023081,4,Cell Biology,65
REG2023081,4,Microbiology,95
REG2023081,4,Bioinformatics,54
REG2023082,1,Structural Analysis,55
REG2023082,1,Geotechnical Engineering,67
REG2023082,1,Transportation Engineering,59
REG2023082,1,Hydrology,74
REG2023082,1,Surveying,95
REG2023082,2,Structural Analysis,100
REG2023082,2,Geotechnical Engineering,90
REG2023082,2,Transportation Engineering,59
REG2023082,2,Hydrology,97
